                                  UID     Pred_19Q2     Pred_19Q3
1                    1-V3566F-BPS STM   459675.0185   472505.2423
2              1-10LZ6-8864-OPS HW A4   172621.2412    78931.1898
3              1-10M46-18886-PC Value    12024.3710    -1055.1055
4                  Sweden-Print Value   416908.1369   448389.1804
5               1-10LZ6-6794-PC Value    11489.0462     7679.3546
6    1-10LQI-8358-BPS Attach Indirect     6251.1609     3015.1350
7              1-10M99-13159-PC Value   292707.3373   297381.2191
8           1-10LQI-1228-BPS Indirect   222077.8138   294121.8272
9   1-10LQI-14992-BPS Attach Indirect   105663.0150    69673.4404
10          1-10LZ6-9068-BPS Indirect  -100753.7242   -10904.2581
11             1-10LQI-15642-PC Value    65986.4227  -131836.3612
12            1-10LQI-22873-OPS HW A4    48685.7498    83863.5074
13          1-10LQI-1385-BPS Indirect  -186354.7032  -352188.6173
14             1-10LZ6-6027-OPS HW A4   211938.6379  -136726.7898
15          1-10M46-1749-BPS Indirect   797640.4393   859193.2991
16          1-10M99-7771-BPS Indirect   432842.5184   393707.5472
17              1-10M46-8119-PC Value    -8070.8210   -84664.8512
18         1-10LQI-15422-BPS Indirect    90357.8458   170997.4690
19           1-10LZ6-8097-Print Value   805673.3661  1413347.7656
20         1-10M99-20490-BPS Indirect   128914.0991   394169.3120
21          1-10MDH-23535-Print Value   296750.3878   633831.3287
22              1-10M46-8643-PC Value   -17792.3001  -264251.3518
23            1-10LQI-21206-OPS HW A4  -177455.1364  2313894.1781
24             1-10M99-12334-PC Value    23553.0331    29308.4833
25             1-10MDH-12319-PC Value  -106408.5947  -250914.8148
26              1-10MDH-1735-PC Value   -63577.4972  -301513.8753
27              1-10M46-7822-PC Value    15490.2310    40267.9347
28           1-10M46-266-BPS Indirect     2746.5512    14970.3485
29         1-10LZ6-18292-BPS Indirect    65205.3286    29658.8742
30              1-10LQI-11865-BPS STM  -417869.9842   246225.4759
31              1-10LZ6-10399-BPS STM   232085.9146 -2254680.3267
32  1-10MDH-21749-BPS Attach Indirect   213965.4085   256364.7053
33          1-10M99-7164-BPS Indirect   550590.3334   915380.6924
34            1-10LQI-17174-OPS HW A3   213229.0266   420229.0920
35          1-10M6L-7017-BPS Indirect      791.4672    10712.1364
36              1-10LQI-3842-PC Value   172975.5782   -20615.8555
37  1-10M46-19931-BPS Attach Indirect    75820.0263    95712.3731
38            1-10M99-17081-OPS HW A4   -94482.1116  -478469.1462
39              1-10M99-5607-PC Value    50831.6150   157021.1047
40         1-10LQI-15441-BPS Indirect   -15058.8201   -26747.7412
41            1-10M99-23758-OPS HW A4    10786.3554    29802.4875
42         1-10LT8-22536-BPS Indirect   198957.2635   143001.7349
43             1-10MDH-9435-OPS HW A3   -77665.9477    39403.4827
44         1-10LT8-17950-BPS Indirect   -65744.4366   -20938.8415
45            1-10LT8-17471-OPS HW A4    29791.1459    30086.0685
46                1-10LQI-9214-HPS HW   -22070.5722     2324.1219
47  1-10M46-10795-BPS Attach Indirect    15199.8519   -34977.4744
48               1-10LQI-1702-BPS STM   226154.8092   384081.0873
49          1-10LZ6-1583-BPS Indirect   -34374.2562  -239400.6329
50         1-10M6L-16719-BPS Indirect   169565.9878   316826.8944
51             1-10LT8-14058-PC Value  -191833.0655  -332820.3553
52             1-10LZ6-13841-PC Value    38934.1533    57255.9861
53         1-10M46-20972-BPS Indirect   591614.4925   444916.6853
54               1-10LT8-513-PC Value   597397.8702  1585295.3982
55               1-10LQI-219-PC Value   213254.2524   175388.7383
56             1-10M46-5967-OPS HW A3   156698.1789   -51797.4661
57          1-10LQI-15186-Print Value     4546.7769   -37447.6330
58          1-10LT8-3463-BPS Indirect   182844.0938    64418.4281
59         1-10M46-22369-BPS Indirect   445073.1602    37632.8263
60  1-10LQI-17215-BPS Attach Indirect   103826.1221   105095.2050
61               1-10M46-1279-BPS STM  -140090.1934   -45401.6141
62          1-10LZ6-4946-BPS Indirect   181881.3287    97668.5376
63              1-10LZ6-1033-PC Value    32751.8642    85831.8807
64         1-10M6L-19727-BPS Indirect   141828.0432   -31071.8913
65         1-10M46-21787-BPS Indirect   -26587.5522    14155.6642
66             1-10M99-22000-PC Value    81060.0101  -130759.7336
67            1-10M6L-20882-OPS HW A4    31935.8033   -95468.6598
68             1-10LT8-8890-OPS HW A4   345884.8293   281910.4410
69             1-10LQI-5543-OPS HW A4   -11696.4577   -43192.9707
70            1-10M46-13238-OPS HW A4    22593.2411   -43961.0135
71  1-10LT8-10676-BPS Attach Indirect    44441.7092    51180.4015
72         1-10LZ6-15856-BPS Indirect    78259.0112    29453.5446
73         1-10LT8-23895-BPS Indirect  -191216.7093  -122722.1294
74   1-10M6L-1934-BPS Attach Indirect    73516.8952    88829.3323
75             1-10LQI-5661-OPS HW A4   164796.4882    96368.6187
76          1-10LQI-8332-BPS Indirect   545026.7640   -86327.8591
77  1-10M99-24311-BPS Attach Indirect    54510.7241   247558.4705
78         1-10MDH-16468-BPS Indirect   -74681.7934   461653.9960
79            1-10LQI-14298-OPS HW A4  -466894.5715  -804001.3372
80              1-10LQI-4152-PC Value   298684.8341    68995.9381
81    1-10LZ6-176-BPS Attach Indirect    33008.2043    43912.7156
82                  1-ZCHIIL-PC Value   482846.7703   588411.5395
83                 1-GF8M44-OPS HW A3    13248.6323    20976.2780
84          1-10M6L-23759-Print Value  1108351.6532  1771262.9127
85              1-PJ0K-64-Print Value   -64563.3973  -819118.1154
86            1-10MDH-21733-OPS HW A4    11885.0899     9764.8422
87             1-10LZ6-5188-OPS HW A3   -66692.4427   -77088.0252
88             1-10LZ6-6435-OPS HW A4   873127.3852   673180.5806
89            1-10LZ6-24375-OPS HW A4   -10726.8522   -39972.3752
90                1-10M46-7139-HPS HW    19816.7009     1500.3442
91       1-WKGFOY-BPS Attach Indirect    10025.0085     5207.8306
92         1-10M46-15789-BPS Indirect   145569.5994   152565.5856
93  1-10M6L-13565-BPS Attach Indirect    17544.0159    17778.4523
94             1-10MDH-19961-PC Value   -12775.2202   -26050.6974
95            1-10LT8-20802-OPS HW A4     5093.2982     5055.1245
96            1-10LQI-14217-OPS HW A4    52226.5279   105506.8529
97         1-10M6L-10345-BPS Indirect   990927.5217   921370.3954
98              1-10M6L-8448-PC Value   461549.4362   494291.7194
99            1-10M46-10861-OPS HW A4   596392.8076   340433.9146
100           1-14WO3-44-BPS Indirect    90673.6525  -194040.5870
101              991000041013-BPS STM   102936.5393   183195.7785
102            1-10LQI-7531-OPS HW A4   -87527.8724  -121734.2518
103               1-10LQI-17221-PL UK    -5378.9709    23694.0877
104            1-10MDH-14239-PC Value   354559.6068   419537.9895
105        1-10M6L-23416-BPS Indirect   353672.9231   299236.8653
106            1-10LQI-22610-PC Value   149437.7446   543523.7089
107         1-10LQI-3997-BPS Indirect   151906.9981  -767310.9220
108 1-10LQI-10791-BPS Attach Indirect    70357.5993    42176.4472
109             1-10M6L-3345-PC Value   116664.8720   -39160.2975
110        1-10LQI-19372-BPS Indirect  -281201.8448  -249876.9234
111      1-10LQI-11846-BPS Attach STM   -73548.4463 -1277880.2696
112 1-10MDH-13187-BPS Attach Indirect    14426.8306    14546.7494
113              1-ZD26SH-Print Value  -194101.5619     6956.1308
114             1-10M46-1749-PC Value    89342.6638   252348.5852
115            1-10M99-21207-PC Value    55060.5308     7188.1374
116             1-RFGO24-BPS Indirect    40967.8465  1253117.0987
117           1-10M99-17120-OPS HW A3    64370.0448   256060.3993
118        1-10M6L-14570-BPS Indirect   261180.7121   182668.1099
119  1-10LT8-9737-BPS Attach Indirect   -73830.6639   -95107.3569
120           1-10LZ6-16542-OPS HW A4   330923.8972   214384.1682
121 1-10LQI-20793-BPS Attach Indirect    35184.4281    25091.2294
122         1-10LQI-11134-Print Value   189091.0089    98728.3536
123             1-3H99R9-BPS Indirect   -20840.5168   -15446.2040
124           1-10M99-19276-OPS HW A3  -702882.0286  -220371.8470
125  1-10LQI-8944-BPS Attach Indirect   332168.9397   350052.9925
126         1-10M6L-17962-Print Value    18288.7721    -3514.6182
127           1-10M46-12162-OPS HW A4    67470.4857    70798.0251
128                 1-XQJWYL-PC Value   -26127.3238   363055.7955
129         1-10M6L-24845-Print Value    53194.8272   -51323.2387
130           1-10LT8-12290-OPS HW A4   224877.7252   412299.8858
131                1-10LT8-116-HPS HW    61365.1266   100096.5357
132            1-10LQI-22275-PC Value   171100.6829   592853.5635
